U1EP3        04B0
U1EP4        04B2
U1EP5        04B4
U1EP6        04B6
U1EP7        04B8
U1EP8        04BA
U1EP9        04BC

U1EP10   04BE
U1EP11   04C0
U1EP12   04C2
U1EP13   04C4
U1EP14   04C6
U1EP15   04C8
U1PWMRRS 04CC
U1PWMCON 04CE

ANCFG 04DE

ANSA 04E0
ANSB    04E2
ANSC    04E4
ANSD    04E6
ANSE 04E8
ANSF    04EA
ANSG    04EC

PMCON1  0600
PMCON2  0602
PMCON3  0604
PMCON4  0606
PMCS1CF 0608
PMCS1BS 060A
PMCS1MD 060C
PMCS2CF 060E
PMCS2BS 0610
PMCS2MD 0612
PMDOUT1 0614
PMDOUT2 0616
PMDIN1  0618
PMDIN2  061A
PMSTAT  061C

ALRMVAL  0620
ALCFGRPT 0622
RTCVAL   0624
RCFGCAL  0626

CMSTAT 0630
CVRCON 0632
CM1CON 0634
CM2CON 0636
CM3CON 0638

CRCCON1  0640
CRCCON2  0642
CRCXORL  0644
CRCXORH  0646
CRCDATL  0648
CRCDATH  064A
CRCWDATL 064C
CRCWDATH 064E

RPINR0  0680
RPINR1  0682
RPINR2  0684
RPINR3  0686
RPINR4  0688
RPINR7  068E
RPINR8  0690
RPINR9  0692
RPINR10 0694
RPINR11 0696
RPINR15 069E
RPINR17 06A2
RPINR18 06A4
RPINR19 06A6
RPINR20 06A8
RPINR21 06AA
RPINR22 06AC
RPINR23 06AE
RPINR27 06B6
RPINR28 06B8
RPINR29 06BA

RPOR0     06C0
RPOR1     06C2
RPOR2     06C4
RPOR3     06C6
RPOR4     06C8
RPOR5     06CA
RPOR6     06CC
RPOR7     06CE
RPOR8     06D0
RPOR9     06D2
RPOR10    06D4
RPOR11    06D6
RPOR12    06D8
RPOR13    06DA
RPOR14    06DC
RPOR15 06DE

G1CMDL   0700
G1CMDH   0702
G1CON1   0704
G1STAT   0706
G1IE     0708
G1IR     070A
G1W1ADRL 070C
G1W1ADRH 070E
G1W2ADRL 0710
G1W2ADRH 0712
G1PUW    0714
G1PUH    0716
G1DPADRL 0718
G1DPADRH 071A
G1DPW    071C
G1DPH    071E
G1DPWT   0720
G1DPHT   0722
G1CON2   0724
G1CON3   0726
G1ACTDA  0728
G1HSYNC  072A
G1VSYNC  072C
G1DBLCON 072E
G1CLUT   0730
G1CLUTWR 0732
G1CLUTRD 0734
G1MRGN   0736
G1CHRX   0738
G1CHRY   073A
G1IPU    073C
G1DBEN   073E

RCON    0740
OSCCON  0742
CLKDIV  0744
CLKDIV2 0746
OSCTUN  0748
REFOCON 074E

NVMCON 0760
NVMKEY 0766

PMD1 0770
PMD2 0772
PMD3 0774
PMD4 0776
PMD5 0778
PMD6 077A
